what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340467858453
java.vm.specification.version,sysinfo,,,"1.7",1340467858453
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340467858453
java.vm.version,sysinfo,,,"22.0-b10",1340467858453
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1340467858539
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1340467858617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340467858655
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340467879430
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340467879947
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1340467879973
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1340467880296
